	topic	score
25	25	0.6003512959725268
14	14	0.5909623178145369
36	36	0.5620271131987343
6	6	0.5337903429096034
4	4	0.4999057586411736
38	38	0.48167273784694203
32	32	0.47913620516581645
7	7	0.4781772804169061
0	0	0.4692301311183404
37	37	0.4629238887791048
39	39	0.46086040313424564
2	2	0.4592931853255169
16	16	0.4584744471387995
23	23	0.4583685909008337
33	33	0.455855881605898
1	1	0.44640713702784707
3	3	0.43617077319856046
35	35	0.4312946490172779
11	11	0.41405953472761237
24	24	0.40995114967827917
29	29	0.40231864072690293
30	30	0.39774329545441844
26	26	0.3960378947861765
5	5	0.3858752921767402
28	28	0.3680775480266352
20	20	0.34855962867965795
21	21	0.316807207823797
10	10	0.3121267438682043
8	8	0.2984370290385736
27	27	0.2863982234079434
13	13	0.2856634245813944
19	19	0.2842733661487039
22	22	0.2757089256995332
9	9	0.2751018055046752
15	15	0.2713186744792151
31	31	0.2683972311432069
17	17	0.2665084706525748
12	12	0.24756545430024643
34	34	0.22959828727346782
18	18	0.22397150664613186
