	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79
lieutenant	0.07070841640233994	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0008009129669517279	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0005909434403292835	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009612632915377617	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015589038375765085	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
winter	0.041399646550416946	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0004121881793253124	0.0	0.0	0.0004721977165900171	0.0	0.0	0.0006512294639833272	0.00044617417734116316	0.0	0.0004530034202616662	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00541286077350378	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0004314390243962407	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0009546372457407415	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
yard	0.021098781377077103	0.0	0.0	0.0	0.0	0.0009557650773786008	0.0011315641459077597	0.0	0.0	0.002459513721987605	0.0	0.001678171567618847	0.0	0.0	0.0	0.0	0.0004801090690307319	0.0	0.0	0.006433237809687853	0.005198651924729347	0.0	0.0009001350263133645	0.0036614530254155397	0.0	0.0009514358825981617	0.0008643166511319578	0.0028319216798990965	0.0	0.0012441297294571996	0.0	0.0	0.0014932629419490695	0.0008700877660885453	0.0	0.0040037198923528194	0.0	0.004015603568404913	0.0014173671370372176	0.0	0.0	0.0	0.0	0.0	0.0	0.0013036980526521802	0.0010311296209692955	0.0	0.0011613169917836785	0.0	0.0	0.0	0.0008164254832081497	0.0	0.0015248834388330579	0.0	0.0	0.0	0.0010726159671321511	0.0	0.0009382344433106482	0.0	0.0	0.00036961701698601246	0.0	0.00039973246748559177	0.0	0.0	0.002893395023420453	0.000683541176840663	0.00039934515370987356	0.0	0.0	0.0005502219428308308	0.0	0.004102309234440327	0.0	0.0	0.0	0.0009529973613098264
dancer	0.01904115453362465	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0005837749922648072	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006469846703112125	0.0
bomb	0.0168856680393219	0.0	0.0	0.0	0.0	0.0	0.0011628599604591727	0.0	0.0	0.0	0.00488112261518836	0.0004917482729069889	0.0007809933158569038	0.0	0.0	0.0032708768267184496	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0010125534608960152	0.0	0.0	0.0011733968276530504	0.0	0.0	0.00046181309153325856	0.0	0.0018852920038625598	0.0005933081265538931	0.00048562331357970834	0.0	0.00045118932030163705	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000854592421092093	0.001359284739010036	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003090501530095935	0.00035987302544526756	0.0	0.0	0.0005190711817704141	0.0	0.0	0.0020979074761271477	0.0	0.0	0.000568025337997824
weaver	0.011231841519474983	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
radio	0.009542644023895264	0.004979823250323534	0.00029563758289441466	0.0017180967843160033	0.0	0.0	0.0	0.0	0.0	0.0	0.002669448032975197	0.002689188113436103	0.0032813569996505976	0.006352273281663656	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001910528284497559	0.0	0.012160531245172024	0.00041308774962089956	0.0019267642637714744	0.0014796284958720207	0.0	0.0004975673509761691	0.0	0.0	0.0	0.0	0.0017436568159610033	0.0012754586059600115	0.007247688248753548	0.0004916393081657588	0.008444031700491905	0.0003042655298486352	0.0	0.001682947389781475	0.0012481919256970286	0.007145296782255173	0.0	0.008862065151333809	0.0	0.0	0.0	0.0003716368228197098	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0016234909417107701	0.0	0.00035331747494637966	0.0	0.0031387193594127893	0.0	0.0007840747712180018	0.002415913389995694	0.0	0.0	0.0004891797434538603	0.0	0.003213911782950163	0.006203566212207079	0.006234606262296438	0.0010845963843166828	0.0005576111143454909	0.0	0.0	0.0	0.0	0.0	0.0	0.006783199496567249
tower	0.009347591549158096	0.0	0.0	0.0	0.0	0.0	0.000746485311537981	0.0	0.001159581122919917	0.0004551579768303782	0.0	0.00038556946674361825	0.0028831700328737497	0.0	0.0011498259846121073	0.0015900334110483527	0.0	0.0	0.0	0.00033490380155853927	0.0	0.0	0.0	0.0	0.0004596686630975455	0.0	0.0	0.0007177822408266366	0.0	0.0	0.0	0.002839436521753669	0.0	0.0	0.0011389536084607244	0.0	0.0	0.0012137109879404306	0.0	0.0	0.001132525154389441	0.0	0.0	0.0007060904754325747	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0012277154019102454	0.0004945626715198159	0.00039662880590185523	0.0	0.0	0.0018296410562470555	0.0	0.0	0.0014453210169449449	0.0	0.000751296931412071	0.0	0.0	0.0	0.0019272022182121873	0.0	0.0010617271764203906	0.0034683665726333857	0.0	0.0	0.0	0.0	0.0	0.00071619579102844	0.0
colonel	0.009066506288945675	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0020827455446124077	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11237198859453201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
wall	0.007972353138029575	0.0010939587373286486	0.003553380025550723	0.0015673708403483033	0.0	0.0006924574845470488	0.008662395179271698	0.0024157511070370674	0.002110121538862586	0.0013643838465213776	0.00043287259177304804	0.0005649743252433836	0.0029847295954823494	0.00392775796353817	0.01114268321543932	0.00305323232896626	0.0010963011300191283	0.0022219354286789894	0.0020227825734764338	0.006449589971452951	0.0016511431895196438	0.0012649430427700281	0.0013754180399701	0.0	0.0063631064258515835	0.0005017963703721762	0.0006795413210056722	0.0	0.0006985306972637773	0.0	0.002433232730254531	0.007819621823728085	0.009286145679652691	0.002622491680085659	0.001557425712235272	0.0006332904449664056	0.00173119455575943	0.00034071775735355914	0.001696127699688077	0.00295310583896935	0.0	0.004401576239615679	0.0005692922859452665	0.0003664327959995717	0.0006452450179494917	0.004930000752210617	0.0006368556059896946	0.0013661866541951895	0.0005836006603203714	0.0012670138385146856	0.0009618942276574671	0.004823639523237944	0.0	0.0003010133805219084	0.0011913677444681525	0.0009464403847232461	0.0012430523056536913	0.0021408020984381437	0.002012602984905243	0.0017604799941182137	0.004368179012089968	0.004186010453850031	0.0008391623268835247	0.0013194824568927288	0.0006465523038059473	0.0012659766944125295	0.004791248124092817	0.0018695873441174626	0.0011909985914826393	0.0015752825420349836	0.0011424163822084665	0.0004936796030960977	0.023553883656859398	0.0012708671856671572	0.007771550677716732	0.0	0.007107267621904612	0.0	0.0	0.0015382749261334538
